radio,mcc,mnc,lac,cellid,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength
LTE,234,10,4224,128096130,0,-0.3663,51.6601,1976,22,1,1402075783,1723052531,0
LTE,234,10,4224,128440686,0,-0.3855,51.6811,1634,28,1,1402122505,1723052528,0
LTE,234,10,4112,128534894,0,-0.0327,51.5473,2294,31,1,1402409318,1747575363,0
LTE,234,10,4112,128641400,0,-0.0293,51.552,2179,29,1,1402409367,1747575363,0
LTE,234,20,1054,160513,0,-0.0562,51.5115,2739,48,1,1402612635,1729281722,0
LTE,234,20,1109,124673,0,-0.2828,51.5361,1463,29,1,1402995705,1742221864,0
LTE,234,20,1085,130304,0,0.0435,51.5031,500,25,1,1403433355,1747096262,0
LTE,234,20,1037,139008,0,-0.0682,51.5703,5266,14,1,1403453335,1752432132,0
LTE,234,20,1121,264961,0,-0.396,51.4694,1520,15,1,1403460251,1756584663,0
LTE,234,20,1105,176130,0,-0.3047,51.5631,1079,27,1,1403880925,1744229641,0
LTE,234,20,1055,124416,0,-0.0804,51.5092,1000,22,1,1404180030,1750009865,0
LTE,234,20,1046,161025,0,-0.1397,51.4931,6163,40,1,1404204401,1743156722,0
LTE,234,20,1103,143874,0,-0.0372,51.5262,2338,37,1,1404220868,1751768463,0
LTE,234,20,1052,92161,0,-0.0677,51.5261,1000,10,1,1404551770,1750548362,0
LTE,234,20,1023,197122,0,-0.2104,51.533,1021,26,1,1404569023,1744453744,0
LTE,234,20,1166,127488,0,-0.3431,51.5818,11075,57,1,1404983104,1725510843,0
LTE,234,20,1065,132353,0,0.0031,51.5068,3849,24,1,1404985535,1752432129,0
UMTS,234,20,142,8399891,275,-0.231,51.5534,19307,25,1,1405082520,1712907603,0
LTE,234,20,1289,301825,0,-0.1861,51.687,1192,28,1,1405084157,1747687723,0
LTE,234,20,1070,257026,0,0.0176,51.4868,7799,42,1,1405341719,1750009926,0
LTE,234,20,1289,288001,0,-0.2006,51.6854,1034,46,1,1405437401,1738271582,0
LTE,234,20,1161,126466,0,-0.0588,51.6,3456,23,1,1405793427,1752432132,0
LTE,234,20,1161,126464,0,-0.0506,51.6089,597,28,1,1405820203,1733620442,0
LTE,234,20,1105,381697,0,-0.2905,51.5471,2391,50,1,1406391734,1744229641,0
LTE,234,20,1105,163585,0,-0.2969,51.5529,4479,29,1,1406391792,1744229641,0
LTE,234,20,1105,163584,0,-0.3061,51.5823,5017,50,1,1406391814,1744229641,0
LTE,234,20,1140,188674,0,-0.102,51.3628,16641,22,1,1406727164,1729444265,0
LTE,234,20,1017,404738,0,-0.1332,51.5631,1143,18,1,1406775329,1735710726,0
UMTS,234,15,301,48757545,208,-0.1353,51.4984,4031,69,1,1406799059,1710591128,0
UMTS,234,15,301,48758003,229,-0.1247,51.5013,5230,105,1,1407170858,1710591130,0
LTE,234,20,1163,126978,0,-0.1169,51.5934,4900,50,1,1407426824,1741393502,0
UMTS,234,20,1240,15817412,137,-0.1739,51.5155,1000,33,1,1407519637,1718237643,0
LTE,234,20,1345,143618,0,-0.0377,51.5351,2216,26,1,1407593420,1750530063,0
LTE,234,20,1345,143617,0,-0.0225,51.5344,1057,29,1,1407593420,1750471922,0
LTE,234,20,1084,101634,0,0.0333,51.5152,5620,27,1,1407621297,1751379242,0
LTE,234,20,1136,102913,0,-0.2071,51.4219,3894,45,1,1407657562,1711882388,0
UMTS,234,10,21019,1276571,290,-0.2383,51.4065,2664,18,1,1407671931,1754086761,0
UMTS,234,10,21019,1271571,289,-0.232,51.407,3123,36,1,1407672012,1756420623,0
LTE,234,20,1055,124162,0,-0.0994,51.5108,1286,39,1,1408171360,1750009866,0
UMTS,234,20,32,12634085,470,-0.2344,51.3806,500,200,1,1408481452,1721610963,0
LTE,234,20,1161,126722,0,-0.0707,51.596,2196,13,1,1408532456,1752432132,0
LTE,234,20,1115,139777,0,-0.3586,51.4755,6481,16,1,1408903331,1756645744,0
UMTS,234,20,1205,7396565,456,-0.4326,51.5072,5749,8,1,1408984241,1720522759,0
LTE,234,20,1095,188418,0,-0.0789,51.3905,20064,50,1,1409087548,1726862103,0
LTE,234,15,12299,397332,0,-0.0701,51.511,2640,4,1,1409220917,1752432130,0
LTE,234,15,12299,403998,0,0.0018,51.5062,1189,9,1,1409220924,1711309865,0
LTE,234,15,12299,412180,0,-0.0025,51.4884,2264,9,1,1409220924,1723729145,0
LTE,234,15,12299,22282,0,-0.0034,51.4777,2504,8,1,1409220934,1728847024,0
LTE,234,20,1067,144640,0,-0.0245,51.4959,1579,20,1,1409437825,1743793085,0
LTE,234,20,1013,167168,0,-0.1171,51.5607,2981,32,1,1409489688,1746146342,0
